Câu hỏi,Đáp án chuẩn,Đáp án hệ thống,Điểm LMM,Điểm Human,Phân loại lỗi
"41. Thuật ngữ ""Malware"" là viết tắt của từ gì?",Malicious Software (Phần mềm độc hại).,Malicious Software (Phần mềm độc hại).,5,5,0. Thành công (Success)
"42. Trong Excel, hàm SUM() được dùng để làm gì?",Tính tổng các giá trị trong một phạm vi ô được chọn.,Dùng để tính toán đảm bảo tính sẵn sàng của bảng tính.,1,1,3. Lỗi Ảo giác / Nhiễu thông tin
43. Tổ hợp phím Ctrl + Alt + Delete có tác dụng gì trên Windows?,"Mở màn hình quản lý bảo mật để truy cập Task Manager, khóa máy, chuyển tài khoản hoặc đăng xuất.","Mở menu hệ thống để truy cập Task Manager, khóa máy hoặc đăng xuất.",5,4,1. Lỗi thiếu sót / Chung chung
44. Chuẩn kết nối USB là viết tắt của cụm từ nào?,Universal Serial Bus.,Universal Serial Bus.,5,5,0. Thành công (Success)
45. Nêu mục đích chính của tường lửa (Firewall).,Giám sát và kiểm soát lưu lượng mạng vào và ra dựa trên các quy tắc bảo mật được thiết lập trước.,"Giám sát, kiểm soát lưu lượng mạng ra vào dựa trên các quy tắc bảo mật.",5,5,0. Thành công (Success)
46. Trình điều khiển thiết bị (Device Driver) là gì?,Là phần mềm giúp hệ điều hành giao tiếp và điều khiển các thiết bị phần cứng.,Là người điều khiển để đảm bảo tính sẵn sàng của các thiết bị máy tính.,1,2,2. Lỗi Kiến thức / Suy luận sai
47. Nút Caps Lock trên bàn phím có chức năng gì?,Bật/tắt chế độ viết hoa toàn bộ các ký tự chữ cái.,Dùng để bật hoặc tắt chế độ viết hoa chữ cái.,5,5,0. Thành công (Success)
48. Tên miền .gov thường được sử dụng cho tổ chức nào?,Các tổ chức chính phủ (Government).,Dành cho chính phủ.,3,5,0. Thành công (Success)
49. Địa chỉ IP là gì?,Là địa chỉ duy nhất để định danh một thiết bị trên mạng máy tính (Internet Protocol).,Là địa chỉ giao thức Internet (Internet Protocol) dùng để định danh thiết bị trên mạng.,5,5,0. Thành công (Success)
50. Phím tắt nào dùng để chọn toàn bộ văn bản (Select All)?,Ctrl + A.,Tổ hợp phím Ctrl + A.,5,5,0. Thành công (Success)
